"","state","account_length","area_code","international_plan","voice_mail_plan","number_vmail_messages","total_day_minutes","total_day_calls","total_day_charge","total_eve_minutes","total_eve_calls","total_eve_charge","total_night_minutes","total_night_calls","total_night_charge","total_intl_minutes","total_intl_calls","total_intl_charge","number_customer_service_calls"
"37","ID",77,"area_code_415","no","no",0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2
"38","KY",95,"area_code_408","no","no",0,135,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1
"39","CO",141,"area_code_415","no","yes",32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1
"40","UT",157,"area_code_408","no","no",0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3
"41","MA",103,"area_code_415","no","no",0,185,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2
"42","AL",98,"area_code_408","no","no",0,161,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4
"43","DE",125,"area_code_408","no","no",0,126.7,108,21.54,206,90,17.51,247.8,114,11.15,13.3,7,3.59,1
"44","MO",112,"area_code_510","no","yes",36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10,3,2.7,2
"45","NE",90,"area_code_415","no","no",0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3
"46","AR",163,"area_code_408","no","no",0,197,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1
"47","AL",91,"area_code_510","yes","no",0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3
"48","NY",75,"area_code_415","no","yes",21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5
"49","MI",157,"area_code_415","no","yes",28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3
"50","VT",103,"area_code_510","no","no",0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1
"51","MI",140,"area_code_415","no","no",0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3
"52","WA",127,"area_code_408","no","no",0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1
"53","UT",83,"area_code_408","yes","no",0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1
"54","IA",113,"area_code_408","no","no",0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1
"55","LA",151,"area_code_408","no","no",0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0
"56","OH",83,"area_code_415","no","no",0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0
"57","MO",6,"area_code_510","no","no",0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1
"58","DE",92,"area_code_415","no","yes",33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2
"59","DC",148,"area_code_415","no","no",0,202,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1
"60","AZ",94,"area_code_408","no","yes",38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1
"61","AL",32,"area_code_510","no","no",0,230.9,87,39.25,187.4,90,15.93,154,53,6.93,6.3,2,1.7,0
"62","CO",68,"area_code_408","no","no",0,237.1,105,40.31,223.5,105,19,97.4,79,4.38,13.2,2,3.56,1
"63","NM",25,"area_code_415","no","no",0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3
"64","KS",70,"area_code_408","no","no",0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0,0,0,3
"65","WV",94,"area_code_510","yes","yes",23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4
"66","AK",126,"area_code_415","no","no",0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5
"67","NY",67,"area_code_408","no","yes",36,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,2
"68","NH",19,"area_code_408","no","no",0,186.1,98,31.64,254.3,57,21.62,214,127,9.63,14.6,7,3.94,2
"69","VA",170,"area_code_510","yes","no",0,259.9,68,44.18,245,122,20.83,134.4,121,6.05,8.4,3,2.27,3
"70","AZ",93,"area_code_415","no","no",0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2
"71","WA",51,"area_code_408","no","no",0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,1
"72","KY",80,"area_code_408","no","no",0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2
"73","MT",94,"area_code_415","no","no",0,137.5,118,23.38,203.2,88,17.27,150,131,6.75,13.4,2,3.62,0
"74","OK",118,"area_code_408","no","yes",23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1
"75","MN",53,"area_code_415","no","yes",24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3
"76","DE",62,"area_code_408","no","no",0,182.3,101,30.99,328.2,93,27.9,245,131,11.03,11.2,1,3.02,2
"77","MO",66,"area_code_415","no","yes",36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,1
"78","IN",122,"area_code_415","no","no",0,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,2
"79","OR",38,"area_code_415","no","no",0,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,3
"80","RI",99,"area_code_510","no","no",0,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27,3
"81","FL",70,"area_code_510","yes","no",0,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75,2
"82","LA",93,"area_code_415","no","no",0,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,3
"83","FL",120,"area_code_415","no","no",0,180,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,7,1.27,3
"84","WA",81,"area_code_415","no","no",0,183.6,116,31.21,152.6,98,12.97,212.2,99,9.55,12.2,6,3.29,3
"85","TN",127,"area_code_408","no","yes",22,166,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1
"86","OK",88,"area_code_408","no","no",0,65.4,97,11.12,168.2,76,14.3,236,113,10.62,13.8,1,3.73,2
"87","IA",126,"area_code_408","no","yes",27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2
"88","MD",93,"area_code_408","yes","no",0,312,109,53.04,129.4,100,11,217.6,74,9.79,10.5,2,2.84,0
"89","OK",100,"area_code_415","no","no",0,203.1,96,34.53,217,126,18.45,180.9,122,8.14,13.5,2,3.65,3
"90","AL",73,"area_code_415","no","no",0,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1
"91","VA",108,"area_code_408","no","no",0,198.5,99,33.75,267.8,60,22.76,354.9,75,15.97,9.4,3,2.54,0
"92","AZ",94,"area_code_408","no","no",0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4
"93","NM",119,"area_code_510","no","yes",23,154,114,26.18,278,137,23.63,228.4,112,10.28,11.8,4,3.19,2
"94","OR",33,"area_code_415","no","yes",29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,13.9,11,3.75,4
"95","NJ",106,"area_code_415","no","no",0,207.9,91,35.34,172,109,14.62,191.8,143,8.63,14.4,7,3.89,4
"96","MS",82,"area_code_408","no","no",0,207,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3
"97","TX",114,"area_code_415","no","no",0,84.7,118,14.4,249.9,86,21.24,193.4,95,8.7,14.5,8,3.92,1
"98","KS",92,"area_code_408","yes","no",0,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,10.4,2,2.81,1
"99","UT",59,"area_code_510","no","no",0,155.2,79,26.38,235.3,123,20,169.4,80,7.62,8.7,4,2.35,1
"100","MN",24,"area_code_510","no","yes",25,164.9,110,28.03,209.3,105,17.79,231.2,55,10.4,6.7,9,1.81,1
"101","IL",151,"area_code_408","no","no",0,134.5,88,22.87,143.1,112,12.16,223.9,61,10.08,15.4,1,4.16,1
"102","WV",114,"area_code_510","no","yes",30,206.2,79,35.05,260,91,22.1,291.6,83,13.12,11.4,6,3.08,1
"103","RI",114,"area_code_510","no","yes",28,225.8,94,38.39,193,117,16.41,232.4,100,10.46,8.4,9,2.27,4
"104","NH",119,"area_code_408","no","no",0,138.3,89,23.51,170.5,78,14.49,263.9,98,11.88,13.5,6,3.65,3
"105","MO",64,"area_code_510","no","yes",48,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0
"106","OK",117,"area_code_415","no","no",0,134.7,121,22.9,180,83,15.3,200.9,104,9.04,7.7,3,2.08,1
"107","WY",139,"area_code_415","no","no",0,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,13,3,3.51,3
"108","PA",92,"area_code_408","no","yes",28,151.1,90,25.69,194.8,79,16.56,239.2,114,10.76,10,3,2.7,1
"109","DE",71,"area_code_415","no","no",0,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,3
"110","SD",145,"area_code_408","no","yes",24,147.5,90,25.08,175.7,108,14.93,252.1,102,11.34,15.6,3,4.21,2
"111","MI",137,"area_code_510","no","no",0,206.4,122,35.09,128,102,10.88,194.5,84,8.75,8.8,5,2.38,2
"112","KS",137,"area_code_408","no","no",0,205.9,88,35,209.3,86,17.79,289.9,84,13.05,14.5,4,3.92,2
"113","AL",167,"area_code_510","no","no",0,207.6,88,35.29,132.4,63,11.25,255.2,98,11.48,14.1,5,3.81,0
"114","CT",199,"area_code_415","no","yes",34,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8,2,2.16,0
"115","WI",94,"area_code_510","no","no",0,177.1,112,30.11,194,112,16.49,146.7,108,6.6,5.9,4,1.59,1
"116","CT",96,"area_code_415","no","yes",37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5
"117","WI",96,"area_code_510","no","yes",18,172.7,86,29.36,133.4,113,11.34,259.5,70,11.68,9.8,3,2.65,1
"118","AR",36,"area_code_415","no","no",0,157.6,117,26.79,184.3,58,15.67,240.4,99,10.82,11.9,1,3.21,0
"119","FL",127,"area_code_415","no","no",0,266.6,106,45.32,264.8,168,22.51,207.2,119,9.32,5.9,2,1.59,1
"120","IA",158,"area_code_415","no","no",0,158,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46,1
"121","IN",122,"area_code_408","no","no",0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4
"122","RI",112,"area_code_510","no","no",0,194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,11.4,2,3.08,0
"123","SD",209,"area_code_415","no","no",0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3
"124","TX",110,"area_code_415","no","yes",38,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1
"125","ID",128,"area_code_408","no","no",0,125.2,99,21.28,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1,0
"126","RI",119,"area_code_415","no","yes",29,117.8,66,20.03,256.8,114,21.83,147.6,76,6.64,7.6,3,2.05,3
"127","SD",128,"area_code_510","yes","yes",32,223.5,81,38,188.8,74,16.05,154.9,101,6.97,9.4,2,2.54,2
"128","WY",114,"area_code_415","no","yes",32,125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,1
"129","VA",104,"area_code_408","no","no",0,138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10,3,2.7,0
"130","AL",121,"area_code_408","no","yes",35,68.7,95,11.68,209.2,69,17.78,197.4,42,8.88,11.4,4,3.08,1
"131","FL",116,"area_code_510","no","no",0,192.1,98,32.66,312.9,135,26.6,130.2,94,5.86,7.9,2,2.13,3
"132","MT",54,"area_code_415","no","no",0,272.6,83,46.34,248.7,74,21.14,197.4,111,8.88,9.5,2,2.57,1
"133","KY",151,"area_code_408","no","yes",17,214.7,97,36.5,138.5,90,11.77,169.1,44,7.61,8.6,4,2.32,1
"134","GA",89,"area_code_415","no","no",0,213,63,36.21,176.6,71,15.01,262.6,126,11.82,9.1,1,2.46,1
"135","IN",98,"area_code_408","no","yes",21,64.6,98,10.98,176.1,86,14.97,244.8,84,11.02,0,0,0,2
"136","FL",100,"area_code_510","no","no",0,107,63,18.19,105.7,67,8.98,243.1,74,10.94,12.8,3,3.46,4
"137","AR",179,"area_code_415","yes","yes",38,220.1,78,37.42,234.3,71,19.92,237.3,85,10.68,10.1,4,2.73,4
"138","AR",79,"area_code_408","no","no",0,152.2,112,25.87,177.2,132,15.06,96.4,87,4.34,5.3,3,1.43,1
"139","ME",31,"area_code_415","no","no",0,166.1,105,28.24,79.3,93,6.74,213.7,98,9.62,12.7,2,3.43,1
"140","CA",124,"area_code_408","yes","no",0,244.6,89,41.58,188.8,80,16.05,206,114,9.27,11.3,4,3.05,1
"141","NE",37,"area_code_408","yes","yes",39,149.7,122,25.45,211.1,75,17.94,114.3,90,5.14,9.2,4,2.48,1
"142","MS",77,"area_code_408","no","no",0,230,87,39.1,103.2,138,8.77,309.6,136,13.93,11.3,3,3.05,2
"143","CO",154,"area_code_415","no","no",0,350.8,75,59.64,216.5,94,18.4,253.9,100,11.43,10.1,9,2.73,1
"144","NC",112,"area_code_415","no","no",0,193.3,96,32.86,264.1,123,22.45,128.6,115,5.79,9.1,3,2.46,4
"145","MD",45,"area_code_415","no","no",0,78.2,127,13.29,253.4,108,21.54,255,100,11.48,18,3,4.86,1
"146","MA",128,"area_code_415","no","no",0,195.6,99,33.25,267.8,120,22.76,164.9,76,7.42,16,2,4.32,0
"147","NC",135,"area_code_415","no","no",0,201.8,81,34.31,225,114,19.13,204.4,82,9.2,10.3,6,2.78,1
"148","SD",87,"area_code_415","no","yes",21,214,113,36.38,180,114,15.3,134.5,82,6.05,10.6,5,2.86,0
"149","DC",138,"area_code_415","no","no",0,170.5,87,28.99,118.2,116,10.05,187.9,111,8.46,11.2,7,3.02,2
"150","MO",95,"area_code_415","yes","no",0,165.5,84,28.14,286.2,112,24.33,198.9,89,8.95,11.5,2,3.11,1
"151","SD",137,"area_code_510","no","no",0,242.1,118,41.16,191,93,16.24,218.6,50,9.84,14.7,2,3.97,3
"152","OR",149,"area_code_415","yes","no",0,176.2,87,29.95,145,81,12.33,249.5,92,11.23,5.7,4,1.54,0
"153","IN",117,"area_code_415","yes","yes",22,196,82,33.32,322.7,82,27.43,225.6,120,10.15,3.7,5,1,1
"154","OH",84,"area_code_408","no","no",0,159.5,125,27.12,247.1,90,21,187.9,82,8.46,7.2,4,1.94,2
"155","KS",137,"area_code_415","no","no",0,230.2,113,39.13,220.4,79,18.73,204.7,111,9.21,10.7,7,2.89,4
"156","WI",85,"area_code_415","no","no",0,102,95,17.34,270.2,139,22.97,148.2,105,6.67,10.7,3,2.89,1
"157","WI",16,"area_code_510","no","no",0,229.6,78,39.03,205.7,108,17.48,166.2,91,7.48,10.8,2,2.92,0
"158","TN",98,"area_code_415","no","yes",22,278.3,89,47.31,93.4,143,7.94,107.6,42,4.84,9.7,5,2.62,0
"159","TX",84,"area_code_408","no","no",0,138.6,102,23.56,199,93,16.92,204.1,137,9.18,7.8,4,2.11,0
"160","DC",66,"area_code_415","no","no",0,167.3,91,28.44,230,68,19.55,191.7,118,8.63,10.6,5,2.86,1
"161","IL",21,"area_code_415","no","no",0,146,78,24.82,109.7,79,9.32,247.4,108,11.13,6.8,7,1.84,0
"162","DE",122,"area_code_510","no","no",0,157.1,134,26.71,184.9,122,15.72,197.2,59,8.87,8.5,5,2.3,4
"163","NV",64,"area_code_415","no","no",0,97.2,80,16.52,186.2,90,15.83,189,92,8.5,10.4,6,2.81,2
"164","MS",126,"area_code_415","no","no",0,256.5,112,43.61,199.5,90,16.96,188.3,122,8.47,7,5,1.89,3
"165","OR",76,"area_code_415","no","no",0,169.5,77,28.82,124,87,10.54,219.4,92,9.87,10,3,2.7,0
"166","DE",113,"area_code_415","no","no",0,239.7,47,40.75,282.9,110,24.05,238.4,88,10.73,8.7,3,2.35,2
"167","DE",224,"area_code_510","yes","no",0,171.5,99,29.16,160,103,13.6,212.4,102,9.56,5,2,1.35,1
"168","AZ",117,"area_code_408","no","no",0,239.9,84,40.78,174.8,106,14.86,209.5,93,9.43,9.8,2,2.65,0
"169","SD",128,"area_code_408","no","yes",34,142.3,73,24.19,194.8,79,16.56,239.3,81,10.77,16,6,4.32,1
"170","NM",141,"area_code_415","no","yes",28,206.9,126,35.17,264.4,126,22.47,171.8,124,7.73,9.3,11,2.51,2
"171","NJ",100,"area_code_415","no","no",0,203.8,122,34.65,283.1,76,24.06,197.3,83,8.88,12.5,3,3.38,0
"172","AZ",140,"area_code_408","no","no",0,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,3
"173","KS",46,"area_code_510","no","no",0,250.3,100,42.55,260.6,90,22.15,195,104,8.78,13.3,2,3.59,2
"174","SC",78,"area_code_415","no","no",0,155,106,26.35,175.3,101,14.9,155.6,125,7,11.8,5,3.19,2
"175","OH",100,"area_code_510","no","no",0,278,76,47.26,176.7,74,15.02,219.5,126,9.88,8.3,4,2.24,0
"176","WY",113,"area_code_510","no","no",0,155,93,26.35,330.6,106,28.1,189.4,123,8.52,13.5,3,3.65,1
"177","AR",135,"area_code_510","no","yes",27,273.4,141,46.48,154,99,13.09,245.8,112,11.06,12.3,6,3.32,1
"178","FL",99,"area_code_408","no","no",0,155.3,93,26.4,265.7,95,22.58,145.7,67,6.56,12.4,4,3.35,0
"179","AR",59,"area_code_510","no","yes",29,133.1,114,22.63,221.2,82,18.8,131.6,103,5.92,6.8,3,1.84,1
"180","MO",135,"area_code_510","no","no",0,246.8,129,41.96,187.8,121,15.96,154.5,109,6.95,12.6,5,3.4,1
"181","LA",149,"area_code_415","no","yes",20,198.9,77,33.81,274,88,23.29,190.7,76,8.58,14.3,9,3.86,1
"182","OH",97,"area_code_408","no","no",0,256.4,125,43.59,273.9,100,23.28,222.7,101,10.02,11.1,1,3,1
"183","AZ",60,"area_code_415","no","no",0,98.2,88,16.69,180.5,69,15.34,223.6,69,10.06,9.3,2,2.51,2
"184","KY",54,"area_code_408","no","no",0,159.8,99,27.17,264,64,22.44,115.7,70,5.21,9.7,7,2.62,2
"185","WA",109,"area_code_415","no","no",0,184,120,31.28,120.4,119,10.23,153.7,86,6.92,11,3,2.97,0
"186","RI",115,"area_code_408","no","no",0,147.9,109,25.14,228.4,117,19.41,299.7,90,13.49,9.6,9,2.59,3
"187","OH",144,"area_code_415","no","yes",18,106.4,109,18.09,108.1,113,9.19,208.4,111,9.38,10.1,5,2.73,1
"188","NV",91,"area_code_408","no","no",0,133.7,75,22.73,195.3,87,16.6,280.5,89,12.62,5.9,2,1.59,0
"189","ND",105,"area_code_415","no","yes",23,193.5,85,32.9,220.2,90,18.72,272.4,111,12.26,8.5,5,2.3,0
"190","NV",71,"area_code_415","yes","no",0,178.2,113,30.29,167.8,94,14.26,182.1,111,8.19,13.6,3,3.67,3
"191","FL",132,"area_code_510","no","yes",36,226.2,103,38.45,181.6,125,15.44,258.8,102,11.65,10.5,5,2.84,3
"192","MD",112,"area_code_415","no","no",0,170.4,103,28.97,200.2,71,17.02,258.3,100,11.62,11.6,4,3.13,1
"193","AL",41,"area_code_510","no","yes",34,194.4,63,33.05,254.9,110,21.67,160.2,115,7.21,17.2,9,4.64,2
"194","NE",44,"area_code_415","no","no",0,240.3,146,40.85,164.6,83,13.99,240.7,106,10.83,10.6,2,2.86,1
"195","NV",78,"area_code_408","no","no",0,75,116,12.75,248.7,87,21.14,176,83,7.92,9.5,6,2.57,3
"196","WV",72,"area_code_510","no","yes",33,96.6,59,16.42,315.4,98,26.81,163.3,117,7.35,6.2,4,1.67,4
"197","AZ",140,"area_code_408","no","no",0,149.8,134,25.47,164.4,98,13.97,294.7,124,13.26,8.1,2,2.19,1
"198","MD",74,"area_code_415","no","no",0,155.7,116,26.47,173.7,63,14.76,257.4,97,11.58,8.1,4,2.19,0
"199","GA",117,"area_code_510","no","no",0,149.9,95,25.48,256.1,110,21.77,212.7,92,9.57,13.3,13,3.59,2
"200","GA",85,"area_code_510","no","no",0,222.3,132,37.79,231.5,101,19.68,223.5,75,10.06,11,2,2.97,3
"201","IN",76,"area_code_415","no","no",0,204.2,100,34.71,292.6,139,24.87,244.3,105,10.99,10.5,2,2.84,0
"202","VT",165,"area_code_510","no","no",0,242.9,126,41.29,209.8,65,17.83,228.4,126,10.28,0,0,0,1
"203","IA",130,"area_code_415","no","no",0,150.4,119,25.57,230.5,99,19.59,186.3,76,8.38,12.3,4,3.32,1
"204","IN",78,"area_code_415","no","no",0,208.9,119,35.51,252.4,132,21.45,280.2,120,12.61,12.8,7,3.46,0
"205","AL",55,"area_code_415","yes","no",0,191.9,91,32.62,256.1,110,21.77,203.7,101,9.17,14.3,6,3.86,1
"206","ME",92,"area_code_415","yes","no",0,130.7,113,22.22,260.6,122,22.15,244.2,98,10.99,9.4,2,2.54,2
"207","AL",144,"area_code_415","no","no",0,177.5,93,30.18,287.4,75,24.43,180.5,118,8.12,11.9,3,3.21,2
"208","ME",75,"area_code_408","yes","no",0,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,4
"209","WV",95,"area_code_415","no","no",0,175.2,91,29.78,244.4,109,20.77,75.8,95,3.41,7.5,2,2.03,1
"210","FL",124,"area_code_415","no","yes",28,251.4,104,42.74,225.1,89,19.13,251.9,121,11.34,7.5,5,2.03,1
"211","MI",93,"area_code_415","yes","no",0,216.9,61,36.87,207.4,120,17.63,221.7,110,9.98,17.5,5,4.73,1
"212","KS",143,"area_code_408","no","yes",24,186.6,69,31.72,222,116,18.87,234.9,138,10.57,11.6,5,3.13,1
"213","MS",118,"area_code_415","no","yes",26,170.8,114,29.04,199.5,125,16.96,169.7,98,7.64,9.6,5,2.59,5
"214","NE",73,"area_code_415","no","no",0,198.3,94,33.71,279.3,101,23.74,146.2,87,6.58,14.8,8,4,3
"215","DE",30,"area_code_415","no","yes",30,217.4,74,36.96,213.8,86,18.17,227.2,104,10.22,6.6,3,1.78,0
"216","ID",148,"area_code_510","no","yes",14,93.6,137,15.91,193.8,72,16.47,144.9,84,6.52,17.5,5,4.73,1
"217","MS",96,"area_code_510","no","no",0,98.2,100,16.69,307.2,88,26.11,182.5,120,8.21,7.6,1,2.05,2
"218","OK",52,"area_code_408","no","no",0,214.7,68,36.5,158.6,138,13.48,123.4,114,5.55,9.4,4,2.54,2
"219","WI",41,"area_code_408","no","no",0,202.9,97,34.49,153.8,104,13.07,113.5,92,5.11,9,3,2.43,3
