"","state","account_length","area_code","international_plan","voice_mail_plan","number_vmail_messages","total_day_calls","total_day_charge","total_eve_minutes","total_eve_calls","total_night_calls","total_night_charge","total_intl_minutes","total_intl_calls","number_customer_service_calls","churn","vmail_flag","number"
"28","WY",109,"area_code_415","no","no",0,128,23.29,217,116,86,8.19,10,5,2,"no","no",1.6094379124341
"29","HI",87,"area_code_510","no","no",0,63,50.56,118.4,108,72,10.9,11,2,2,"yes","no",0.693147180559945
"30","ID",43,"area_code_415","no","yes",36,68,15.83,246.1,83,109,4.27,8.7,8,1,"no","yes",2.07944154167984
"31","NY",49,"area_code_415","no","no",0,94,28.42,218.1,121,109,14.09,7.8,5,3,"no","no",1.6094379124341
"32","MD",117,"area_code_415","no","yes",23,86,33.68,177,86,92,8.12,6.8,6,1,"no","yes",1.79175946922805
"33","DC",112,"area_code_415","no","yes",16,110,37.67,130.2,123,108,9,11.3,3,1,"no","yes",1.09861228866811
"34","HI",105,"area_code_415","no","no",0,99,35.89,176.7,66,96,9.97,14.7,7,4,"no","no",1.94591014905531
"35","MA",102,"area_code_510","yes","no",0,103,39.75,221.6,131,106,6.61,12.8,3,0,"no","no",1.09861228866811
"36","TN",125,"area_code_415","no","no",0,96,23.55,159.7,117,91,9.57,7.7,3,2,"no","no",1.09861228866811
"37","NY",77,"area_code_415","no","yes",33,101,24.31,212.2,102,120,4.72,15.3,4,5,"yes","yes",1.38629436111989
"38","MN",99,"area_code_408","no","no",0,86,21.9,203.9,105,131,12.72,14.1,4,2,"no","no",1.38629436111989
"39","RI",39,"area_code_408","no","no",0,83,15.86,199.6,114,104,9.28,6.5,4,0,"no","no",1.38629436111989
"40","MT",63,"area_code_415","no","yes",33,111,31.31,312.6,89,55,11.88,12.2,4,1,"no","yes",1.38629436111989
"41","OR",161,"area_code_415","no","no",0,109,30.28,146.5,86,78,6.19,8.5,2,1,"no","no",0.693147180559945
"42","OK",155,"area_code_408","no","yes",30,103,10.47,255.1,110,96,10.17,12.4,5,1,"no","yes",1.6094379124341
"43","MO",58,"area_code_415","no","no",0,145,25.4,196.5,105,108,9.43,14.9,3,1,"no","no",1.09861228866811
"44","WI",129,"area_code_415","no","yes",37,94,34.85,165.4,103,81,8.32,11.7,8,1,"no","yes",2.07944154167984
"45","RI",123,"area_code_408","no","no",0,102,38.35,225.8,56,128,8.4,6.7,2,1,"no","no",0.693147180559945
"46","NV",3,"area_code_510","no","yes",27,116,11.46,244,78,93,12.65,11.4,2,2,"no","yes",0.693147180559945
"47","KS",124,"area_code_415","no","no",0,104,26.96,211.2,77,104,8.07,10.2,8,3,"no","no",2.07944154167984
"48","GA",76,"area_code_415","no","no",0,125,50.92,226.7,92,134,9.48,13.7,4,0,"yes","no",1.38629436111989
"49","ID",99,"area_code_408","no","no",0,102,32.37,158.1,107,92,12.22,11.2,4,2,"no","no",1.38629436111989
"50","CO",84,"area_code_415","no","no",0,89,25.3,189.8,93,73,6.64,6.3,2,1,"no","no",0.693147180559945
"51","MO",103,"area_code_415","no","yes",34,92,40.9,204.2,99,82,13.37,12.7,9,5,"no","yes",2.19722457733622
"52","OR",117,"area_code_415","no","yes",38,94,44.08,245.6,71,125,12.12,9.2,1,3,"no","yes",0
"53","TN",59,"area_code_415","no","no",0,95,27.35,251.2,65,97,12.3,5,5,3,"no","no",1.6094379124341
"54","HI",190,"area_code_408","no","no",0,86,25.65,268.6,129,73,8.1,14.7,1,1,"no","no",0
"55","VA",128,"area_code_415","no","no",0,111,36.72,153.7,115,74,10.22,12.7,4,1,"no","no",1.38629436111989
"56","OH",135,"area_code_415","no","no",0,107,29.48,222,84,94,2.89,13.7,6,1,"no","no",1.79175946922805
"57","NE",88,"area_code_408","no","yes",28,104,32.4,237.3,105,116,9.52,9.8,1,2,"no","yes",0
"58","RI",36,"area_code_415","no","no",0,97,39.97,196.8,104,110,11.69,7,7,3,"no","no",1.94591014905531
"59","WY",140,"area_code_408","no","no",0,106,25.76,175.7,125,87,9.63,12.4,9,3,"no","no",2.19722457733622
"60","MD",68,"area_code_408","no","no",0,106,25.57,199,131,103,4.94,12.3,3,3,"no","no",1.09861228866811
"61","NJ",83,"area_code_415","no","no",0,120,28.39,209.1,102,107,5.9,8.6,2,1,"no","no",0.693147180559945
"62","IL",123,"area_code_408","no","no",0,94,19.52,150,104,119,12.09,9.6,4,2,"no","no",1.38629436111989
"63","NE",200,"area_code_408","no","no",0,71,33.22,249.4,96,132,10.49,12.9,2,3,"no","no",0.693147180559945
"64","AL",149,"area_code_415","no","yes",20,102,44.95,219.6,123,89,9.02,11.3,3,2,"no","yes",1.09861228866811
"65","MA",71,"area_code_510","no","no",0,108,49.37,253.9,92,126,11.85,10.1,5,3,"yes","no",1.6094379124341
"66","ID",134,"area_code_415","no","no",0,108,34.8,143.1,105,84,7.46,11,4,6,"no","no",1.38629436111989
"67","NY",47,"area_code_415","no","yes",37,77,27.8,203.1,102,87,10.44,7.8,4,2,"no","yes",1.38629436111989
"68","SD",140,"area_code_415","no","no",0,67,32.61,261.1,52,112,11.37,10.8,3,6,"no","no",1.09861228866811
"69","NE",94,"area_code_415","no","no",0,104,42.94,169,125,106,7.69,11.1,7,2,"no","no",1.94591014905531
"70","OH",75,"area_code_415","no","no",0,99,25.6,301.5,83,104,7.14,8.1,5,0,"no","no",1.6094379124341
"71","ND",50,"area_code_415","no","no",0,127,50.2,127.4,100,105,7.51,9.6,6,1,"no","no",1.79175946922805
"72","DE",64,"area_code_415","no","yes",31,121,47.92,240.6,104,120,9.55,7,5,3,"no","yes",1.6094379124341
"73","ME",52,"area_code_510","no","no",0,80,21.98,142.7,101,89,11.62,12.3,4,3,"no","no",1.38629436111989
"74","MO",83,"area_code_415","no","yes",30,105,46.33,253,83,123,8.14,8.7,6,3,"no","yes",1.79175946922805
"75","DC",29,"area_code_510","no","no",0,92,30.96,180.4,91,128,9.29,7.2,2,2,"no","no",0.693147180559945
"76","SC",22,"area_code_408","no","no",0,107,18.75,166.5,93,96,9.1,9.5,5,0,"no","no",1.6094379124341
"77","AZ",134,"area_code_415","no","yes",40,105,24.29,88.6,61,96,13.05,10.8,6,1,"no","yes",1.79175946922805
"78","KS",43,"area_code_415","no","no",0,117,4.59,160.9,97,96,12.58,10.7,3,3,"no","no",1.09861228866811
"79","ND",118,"area_code_408","no","no",0,94,38.18,225.9,120,105,12.11,12.5,8,2,"no","no",2.07944154167984
"80","OK",127,"area_code_510","no","yes",27,113,0.44,254,102,156,10.92,9.2,5,3,"no","yes",1.6094379124341
"81","ID",92,"area_code_415","yes","no",0,140,29.43,240.3,105,117,10.49,9,5,1,"no","no",1.6094379124341
"82","OH",75,"area_code_510","no","yes",46,62,36.4,200.9,111,126,11.11,9.2,6,0,"no","yes",1.79175946922805
"83","OK",122,"area_code_408","no","no",0,87,32.28,193.9,118,114,7.98,15.6,2,0,"no","no",0.693147180559945
"84","IN",65,"area_code_408","no","no",0,109,35.31,217.5,117,111,5.65,8,5,1,"no","no",1.6094379124341
"85","OR",129,"area_code_510","no","yes",36,103,32.78,177,83,118,9.74,16.4,5,1,"no","yes",1.6094379124341
"86","MD",88,"area_code_415","yes","no",0,98,39.97,251.8,79,76,12.87,7.2,2,4,"yes","no",0.693147180559945
"87","VT",116,"area_code_415","no","no",0,84,22,157.3,89,77,9.7,13.3,3,0,"no","no",1.09861228866811
"88","FL",120,"area_code_415","no","no",0,103,31.37,209,86,70,7.64,10.2,6,2,"no","no",1.79175946922805
"89","AR",96,"area_code_415","no","yes",21,95,42.09,256.3,150,72,7.14,10.8,6,2,"no","yes",1.79175946922805
"90","DE",115,"area_code_415","no","no",0,76,46.84,225.8,82,87,14.73,4.8,2,3,"yes","no",0.693147180559945
"91","CO",90,"area_code_408","no","no",0,102,18.68,220.8,114,133,4.68,10.9,6,0,"no","no",1.79175946922805
"92","AL",91,"area_code_408","yes","no",0,115,25.81,103.6,116,86,7.03,12.2,4,1,"no","no",1.38629436111989
"93","VT",93,"area_code_415","no","yes",37,95,39.17,155.5,89,90,8.06,10.4,9,3,"no","yes",2.19722457733622
"94","TN",94,"area_code_408","yes","no",0,113,28.92,271.8,94,78,4.98,8.7,4,1,"no","no",1.38629436111989
"95","MN",90,"area_code_408","no","yes",32,76,47.02,138.3,90,88,12.58,6.8,3,3,"no","yes",1.09861228866811
"96","RI",121,"area_code_415","no","yes",22,107,36.09,238,94,114,14.98,10.4,2,1,"no","yes",0.693147180559945
"97","AL",134,"area_code_415","no","no",0,110,30.26,153.8,64,105,10.65,11.7,4,1,"no","no",1.38629436111989
"98","GA",99,"area_code_510","no","no",0,103,36.53,218.4,121,110,12.27,9.6,3,2,"no","no",1.09861228866811
"99","IL",233,"area_code_408","no","no",0,94,23.34,232.4,87,105,9.27,9.8,4,1,"no","no",1.38629436111989
"100","TX",87,"area_code_415","no","no",0,105,28.75,169.9,102,106,11.02,9.9,10,3,"no","no",2.30258509299405
"101","VA",16,"area_code_510","no","no",0,69,34.95,169.5,93,64,9.9,10.9,3,0,"no","no",1.09861228866811
"102","WY",72,"area_code_510","yes","no",0,75,46.58,162.8,110,121,4.95,7.7,3,4,"no","no",1.09861228866811
"103","MN",151,"area_code_415","no","yes",31,102,40.92,106.5,96,128,8.81,10.6,2,2,"no","yes",0.693147180559945
"104","MS",171,"area_code_510","yes","no",0,83,32.57,181.1,103,73,8.79,8.6,3,3,"no","no",1.09861228866811
"105","NE",148,"area_code_415","no","no",0,98,30.31,282.6,110,98,8.15,11.4,4,1,"no","no",1.38629436111989
"106","OH",68,"area_code_510","no","no",0,80,24.41,134.3,65,84,9.7,15.5,5,2,"no","no",1.6094379124341
"107","WV",125,"area_code_415","no","no",0,128,35.02,198.1,71,116,6.12,13.2,3,0,"no","no",1.09861228866811
"108","LA",179,"area_code_408","no","no",0,92,37.26,149.4,125,104,11.01,6.1,5,0,"no","no",1.6094379124341
"109","VA",141,"area_code_415","no","no",0,131,44.23,179.2,120,119,6.08,7.2,8,3,"no","no",2.07944154167984
"110","NJ",93,"area_code_415","no","no",0,85,24.87,216.6,95,82,10.49,11.5,3,0,"no","no",1.09861228866811
"111","MI",135,"area_code_415","no","no",0,91,40.78,177.1,104,118,9.77,5.9,3,2,"no","no",1.09861228866811
"112","SD",20,"area_code_415","no","yes",35,98,29.16,153.1,127,125,7.45,7.1,3,0,"no","yes",1.09861228866811
"113","ME",78,"area_code_415","no","no",0,105,35.94,249.9,77,129,8.98,9.3,2,2,"no","no",0.693147180559945
"114","FL",91,"area_code_415","no","no",0,70,26.04,231.7,91,80,5.18,9.8,3,4,"yes","no",1.09861228866811
"115","TN",17,"area_code_510","no","yes",31,115,26.03,185.9,59,102,10.09,10,1,6,"yes","yes",0
"116","AL",47,"area_code_408","no","yes",28,94,24.02,168,108,84,5.11,7.8,2,1,"no","yes",0.693147180559945
"117","DC",114,"area_code_415","no","no",0,119,25.01,161,111,106,12.42,9,3,5,"yes","no",1.09861228866811
"118","NJ",80,"area_code_415","no","no",0,120,45.68,301,147,140,7.52,5.8,1,2,"yes","no",0
"119","CT",70,"area_code_408","no","no",0,111,33.76,213.9,115,105,7.7,10.6,6,2,"no","no",1.79175946922805
"120","NC",85,"area_code_510","no","no",0,111,31.18,168.8,98,97,8.99,9.9,4,4,"no","no",1.38629436111989
"121","WA",113,"area_code_408","no","no",0,133,27.39,205.3,95,93,2.71,12.2,2,2,"no","no",0.693147180559945
"122","CT",72,"area_code_408","no","yes",21,108,31.74,335,86,119,8.42,16.5,4,1,"no","yes",1.38629436111989
"123","UT",80,"area_code_415","no","yes",33,109,32.2,148.7,68,119,9.4,11.2,4,1,"yes","yes",1.38629436111989
"124","WV",67,"area_code_415","no","yes",30,107,22.03,233,104,93,13.37,14.5,5,1,"no","yes",1.6094379124341
"125","KS",121,"area_code_408","no","no",0,105,25.62,197.3,133,116,7.61,9.2,15,1,"no","no",2.70805020110221
"126","MO",142,"area_code_415","no","yes",30,75,26.18,165.8,97,83,12.15,10.8,5,1,"no","yes",1.6094379124341
"127","AL",91,"area_code_510","no","yes",39,97,27.34,119.3,54,101,6.66,10.3,3,3,"no","yes",1.09861228866811
"128","OH",110,"area_code_510","no","no",0,91,29.85,236.5,127,114,8.77,9.5,8,0,"no","no",2.07944154167984
"129","GA",122,"area_code_408","no","no",0,109,15.86,214.4,104,104,7.95,12.1,2,0,"no","no",0.693147180559945
"130","CT",95,"area_code_415","no","no",0,113,33.73,235.9,144,99,14.65,10.1,3,0,"no","no",1.09861228866811
"131","MT",74,"area_code_415","no","no",0,102,27.66,292,105,80,8.25,8.7,6,0,"no","no",1.79175946922805
"132","KS",149,"area_code_510","no","no",0,91,37.01,273.5,74,99,10.21,9.6,3,3,"no","no",1.09861228866811
"133","LA",98,"area_code_408","no","no",0,82,23.14,156.3,118,83,7.15,10.1,5,2,"no","no",1.6094379124341
"134","KY",125,"area_code_408","no","no",0,115,32.57,205.6,108,123,9.46,9.2,3,2,"no","no",1.09861228866811
"135","TX",140,"area_code_408","no","no",0,107,33.12,170.9,99,93,10.13,13.9,4,0,"no","no",1.38629436111989
"136","OH",69,"area_code_415","no","no",0,76,41.62,77.2,100,102,10.03,10,3,0,"no","no",1.09861228866811
"137","SC",149,"area_code_415","no","yes",20,132,25.13,276.8,94,110,6.75,10.2,6,0,"no","yes",1.79175946922805
"138","SD",67,"area_code_415","no","no",0,104,48.37,88.6,71,93,7.71,12.5,4,1,"no","no",1.38629436111989
"139","MO",160,"area_code_415","no","no",0,103,29.1,243.5,121,92,8.02,13,3,2,"no","no",1.09861228866811
"140","MN",95,"area_code_415","no","no",0,96,25.36,260.7,116,120,9.05,8.1,2,1,"no","no",0.693147180559945
"141","TN",25,"area_code_415","no","no",0,114,19.45,201.1,97,121,10.73,11.6,4,3,"no","no",1.38629436111989
"142","CT",102,"area_code_415","no","yes",25,100,23.36,176.7,83,93,8.47,10.2,6,2,"no","yes",1.79175946922805
"143","RI",150,"area_code_415","no","yes",29,77,35.68,158,52,113,6.39,6.6,1,0,"no","yes",0
"144","WY",113,"area_code_408","no","no",0,107,26.93,142.2,104,108,7.86,14.9,2,0,"no","no",0.693147180559945
"145","IN",81,"area_code_415","no","no",0,113,29.94,162,80,83,7.24,11.9,4,1,"no","no",1.38629436111989
"146","OK",101,"area_code_415","no","no",0,85,45.85,207.6,86,107,9.64,4.5,15,3,"yes","no",2.70805020110221
"147","TN",196,"area_code_415","no","no",0,80,22.63,206.5,120,96,9.97,10.3,8,1,"no","no",2.07944154167984
"148","IL",135,"area_code_415","no","no",0,61,42.02,168.7,122,100,7.64,6.6,1,0,"no","no",0
"149","AZ",85,"area_code_408","no","no",0,52,34.24,229.4,104,106,11.36,12,3,1,"no","no",1.09861228866811
"150","IN",96,"area_code_415","no","yes",23,88,31.13,147.4,89,108,15.76,11.3,7,1,"no","yes",1.94591014905531
"151","MT",73,"area_code_408","no","yes",26,98,22.3,106.5,97,96,9.98,10.2,6,2,"no","yes",1.79175946922805
"152","MT",137,"area_code_408","yes","no",0,112,43.86,246.5,117,100,7.79,10.9,3,0,"yes","no",1.09861228866811
"153","MA",101,"area_code_415","no","yes",21,88,40.46,209.6,84,95,10.49,10,5,2,"no","yes",1.6094379124341
"154","NH",131,"area_code_415","no","no",0,79,9.44,163.5,104,59,5.76,10.1,4,1,"no","no",1.38629436111989
"155","IN",68,"area_code_510","no","no",0,127,42.48,254.5,118,98,12.29,8.9,6,2,"yes","no",1.79175946922805
"156","LA",69,"area_code_415","no","yes",37,98,26.35,142.4,105,117,6.47,5.9,4,1,"no","yes",1.38629436111989
"157","DC",151,"area_code_415","no","yes",27,141,26.25,210.6,109,109,7.56,7.8,3,3,"no","yes",1.09861228866811
"158","FL",87,"area_code_415","no","no",0,83,30.02,221.6,101,89,8.34,9.4,1,0,"no","no",0
"159","NY",104,"area_code_415","no","no",0,93,26.55,193,54,94,10.02,13.1,5,1,"no","no",1.6094379124341
"160","PA",61,"area_code_408","no","yes",31,101,49.08,203.8,102,49,9.14,8.6,3,0,"no","yes",1.09861228866811
"161","RI",90,"area_code_510","no","no",0,98,32.3,196.1,111,58,9.74,8,6,2,"no","no",1.79175946922805
"162","TX",79,"area_code_415","no","no",0,90,24.48,135.8,91,129,9.56,13,4,1,"no","no",1.38629436111989
"163","KY",70,"area_code_408","no","no",0,82,26.62,193.1,112,108,8.09,12.6,1,1,"no","no",0
"164","AZ",144,"area_code_510","yes","no",0,100,34.6,247.6,103,94,8.74,11.9,11,0,"no","no",2.39789527279837
"165","SD",65,"area_code_408","no","yes",31,70,47.99,152,89,93,10.15,12,4,1,"no","yes",1.38629436111989
"166","LA",162,"area_code_510","no","yes",33,139,31.37,183.2,78,106,5.73,12.3,6,0,"no","yes",1.79175946922805
"167","MT",85,"area_code_408","no","yes",17,88,15.27,233.2,75,116,7.46,9.3,7,4,"yes","yes",1.94591014905531
"168","NM",155,"area_code_415","no","no",0,103,47.87,152.7,82,86,8.86,7.4,3,2,"no","no",1.09861228866811
"169","WY",101,"area_code_415","no","yes",24,103,40.89,280.5,78,69,9.58,10.4,5,2,"no","yes",1.6094379124341
"170","MA",47,"area_code_415","no","no",0,116,26.4,188.2,85,73,11.12,12.3,4,3,"no","no",1.38629436111989
"171","CO",192,"area_code_415","no","no",0,88,31.45,224.9,98,105,9.56,11.4,3,2,"no","no",1.09861228866811
"172","IL",151,"area_code_408","no","no",0,106,29.8,144.3,87,88,7.21,11.8,5,0,"no","no",1.6094379124341
"173","DE",80,"area_code_415","no","no",0,138,33.97,167.1,91,94,12.23,5.5,4,1,"no","no",1.38629436111989
"174","ME",100,"area_code_510","no","no",0,117,44.97,194,111,111,11.82,7.5,4,2,"yes","no",1.38629436111989
"175","WY",107,"area_code_510","no","yes",31,45,27.25,221.5,70,109,11.77,5.6,1,1,"no","yes",0
"176","IL",156,"area_code_415","no","no",0,65,29.67,197.4,116,86,10.73,10.6,2,0,"no","no",0.693147180559945
"177","IN",115,"area_code_408","no","no",0,128,24.94,106.2,74,104,8.9,11.1,4,2,"no","no",1.38629436111989
"178","WV",64,"area_code_415","no","no",0,110,27.3,171.9,97,56,4.73,7.3,2,0,"yes","no",0.693147180559945
"179","TN",93,"area_code_408","no","no",0,135,29.29,318.7,95,104,5.92,11.5,4,3,"no","no",1.38629436111989
"180","IL",79,"area_code_408","yes","no",0,134,17.6,319.3,111,124,10.8,8.4,4,2,"no","no",1.38629436111989
"181","NM",62,"area_code_415","no","no",0,91,41.7,122.9,130,102,10.28,8.5,4,4,"no","no",1.38629436111989
"182","VA",93,"area_code_510","yes","no",0,133,29.31,205.6,77,126,11.06,9.1,9,1,"no","no",2.19722457733622
"183","AZ",86,"area_code_408","no","yes",31,139,28.49,113,118,121,11.11,12.2,6,1,"no","yes",1.79175946922805
"184","ME",69,"area_code_510","no","no",0,122,33.01,242.1,81,80,9.71,9.7,3,2,"no","no",1.09861228866811
"185","MN",89,"area_code_510","no","no",0,105,14.62,215.5,102,83,8.36,8.2,3,3,"no","no",1.09861228866811
"186","TX",109,"area_code_510","yes","no",0,136,27.13,151,126,53,6.39,7.3,4,4,"yes","no",1.38629436111989
"187","WY",185,"area_code_415","yes","yes",30,114,26.2,118.7,106,105,11.63,12.9,3,2,"no","yes",1.09861228866811
"188","LA",67,"area_code_510","no","no",0,97,52.77,66.5,123,99,11.09,9.2,10,4,"no","no",2.30258509299405
"189","NY",92,"area_code_408","no","no",0,82,45.15,180.7,75,113,9.5,8.6,2,1,"no","no",0.693147180559945
"190","SD",86,"area_code_415","no","no",0,75,38.06,155.7,109,143,6.76,7.3,9,1,"no","no",2.19722457733622
"191","CO",107,"area_code_415","no","no",0,85,22.75,180.5,94,115,5.05,8.9,4,0,"no","no",1.38629436111989
"192","WI",70,"area_code_415","no","no",0,100,1.34,136.4,83,89,7.05,12.1,1,0,"no","no",0
"193","FL",202,"area_code_415","no","no",0,88,28.71,235.8,98,108,12.29,14.6,3,3,"no","no",1.09861228866811
"194","VT",60,"area_code_415","no","no",0,118,32.96,85,110,134,9.45,13.2,8,3,"no","no",2.07944154167984
"195","TX",97,"area_code_510","no","no",0,91,24.51,226.7,137,72,6.51,13.8,4,3,"no","no",1.38629436111989
"196","NJ",108,"area_code_415","no","no",0,102,40.68,223.4,127,104,11.31,10.6,6,0,"no","no",1.79175946922805
"197","CT",142,"area_code_510","no","yes",38,125,39.3,174.8,121,87,7.7,12.4,2,4,"no","yes",0.693147180559945
"198","MN",74,"area_code_510","no","yes",33,91,32.93,246.1,96,92,6.21,14.6,3,2,"no","yes",1.09861228866811
"199","KS",105,"area_code_415","yes","no",0,119,46.56,278.6,103,90,11.49,10.9,7,1,"yes","no",1.94591014905531
"200","AL",89,"area_code_510","no","no",0,71,21.96,214.1,68,100,9.67,10.3,4,5,"yes","no",1.38629436111989
"201","ND",109,"area_code_415","no","no",0,105,17.31,348.9,107,150,10.49,7.5,5,1,"no","no",1.6094379124341
"202","WI",82,"area_code_408","no","no",0,82,36.99,169.4,101,124,11.2,12.7,3,0,"no","no",1.09861228866811
"203","VA",158,"area_code_415","no","no",0,101,37.88,203,128,106,9.48,6.9,2,2,"no","no",0.693147180559945
"204","NH",22,"area_code_408","no","yes",29,147,25.7,203.2,135,98,13.32,11.1,2,2,"no","yes",0.693147180559945
"205","IN",101,"area_code_415","no","yes",42,82,35.56,159.7,74,100,8.17,9.5,3,0,"no","yes",1.09861228866811
"206","AL",85,"area_code_408","no","yes",30,107,29.43,247.2,101,104,7.14,11.5,5,1,"no","yes",1.6094379124341
"207","CT",135,"area_code_415","yes","no",0,107,31.62,66,94,105,9.59,12.9,4,1,"no","no",1.38629436111989
"208","MI",62,"area_code_415","no","no",0,103,16.81,135.4,122,82,10.65,12.2,1,1,"no","no",0
"209","HI",169,"area_code_408","no","no",0,119,40.92,141.1,102,56,5.43,7.7,2,2,"no","no",0.693147180559945
"210","IN",94,"area_code_510","no","no",0,112,41.65,180.4,91,105,11.83,9.7,6,1,"no","no",1.79175946922805
"211","NJ",197,"area_code_510","no","no",0,111,26.32,171.5,102,86,10.23,10.6,2,3,"no","no",0.693147180559945
"212","WY",71,"area_code_415","no","no",0,124,41.43,60,90,129,8.5,11.3,2,0,"no","no",0.693147180559945
"213","KY",72,"area_code_408","no","no",0,97,30.11,184.7,105,94,7.83,8,6,1,"no","no",1.79175946922805
"214","NE",56,"area_code_510","no","no",0,84,20.67,165.3,115,95,10.98,8.9,2,1,"no","no",0.693147180559945
"215","VA",127,"area_code_408","no","yes",25,91,29.41,245.8,64,99,13.5,4.8,3,0,"no","yes",1.09861228866811
"216","NH",83,"area_code_415","no","no",0,100,39.32,210.4,84,106,9.78,12.4,2,3,"no","no",0.693147180559945
"217","ID",92,"area_code_415","no","yes",31,116,29.29,266.2,91,90,10.27,11.8,5,1,"no","yes",1.6094379124341
"218","WI",100,"area_code_510","no","yes",38,121,38.2,294,131,61,13.05,9.8,6,0,"no","yes",1.79175946922805
"219","NH",131,"area_code_415","no","no",0,134,38.71,162.7,88,90,12.57,8.9,7,4,"no","no",1.94591014905531
"220","NM",21,"area_code_415","no","yes",19,94,22.56,204.6,101,78,6.96,12.9,7,3,"no","yes",1.94591014905531
"221","MS",155,"area_code_408","no","no",0,93,27.71,203.9,102,109,7.15,15.1,4,2,"no","no",1.38629436111989
"222","FL",98,"area_code_408","no","no",0,101,48.98,137.9,93,88,9.29,0,0,0,"no","no",-Inf
"223","MD",52,"area_code_415","no","no",0,114,35.67,171.3,82,119,6.96,9.9,9,4,"no","no",2.19722457733622
"224","DE",67,"area_code_415","yes","yes",35,59,30.79,215.9,116,106,9.73,16.9,4,0,"yes","yes",1.38629436111989
"225","ID",101,"area_code_510","no","yes",17,71,32.96,189.8,81,97,8.83,12.6,7,0,"no","yes",1.94591014905531
"226","AL",166,"area_code_415","yes","no",0,120,32.52,167.3,88,110,7.33,10.2,2,2,"yes","no",0.693147180559945
"227","MA",40,"area_code_408","no","yes",31,69,38.2,134.5,81,104,5.41,7.5,5,1,"yes","yes",1.6094379124341
"228","ME",23,"area_code_510","no","no",0,74,19.23,168.8,95,126,11.83,6.9,2,1,"yes","no",0.693147180559945
"229","FL",130,"area_code_415","no","no",0,113,27.68,290.3,111,140,5.17,7.2,3,1,"no","no",1.09861228866811
